# payload|project|package-version|upstream-url|license-id|mapped-dlls|exact-origin|retrieved-UTC|sha256
PortAudio.txt|PortAudio|19.7.0-5|https://www.portaudio.com/|MIT|libportaudio.dll|C:/msys64/clang64/share/doc/portaudio/LICENSE.txt|2026-09-09|ec52a1952d701f94e5135719a47376da4ee0b4a0201f1cafb49f61db6480ac3d
FFTW-COPYING.txt|FFTW|3.3.11-1|https://fftw.org/fftw-3.3.11.tar.gz|GPL-2.0-or-later|libfftw3-3.dll|fftw-3.3.11/COPYING in archive SHA256 5630c24cdeb33b131612f7eb4b1a9934234754f9f388ff8617458d0be6f239a1|2026-09-09|231f7edcc7352d7734a96eef0b8030f77982678c516876fcb81e25b32d68564c
FFTW-COPYRIGHT.txt|FFTW|3.3.11-1|https://fftw.org/fftw-3.3.11.tar.gz|GPL-2.0-or-later|libfftw3-3.dll|fftw-3.3.11/COPYRIGHT in archive SHA256 5630c24cdeb33b131612f7eb4b1a9934234754f9f388ff8617458d0be6f239a1|2026-09-09|8a74b35d541d93fdf58a22a3d3baa48ae3edbf6d715edfeb6457c21968ae43ac
libsamplerate.txt|libsamplerate|0.2.2-1|https://libsndfile.github.io/libsamplerate/|BSD-2-Clause|libsamplerate-0.dll|C:/msys64/clang64/share/licenses/libsamplerate/COPYING|2026-09-09|2c1f76ce2effdddb425018405d5690c0b1ab4e6976e35296b0a6db65c5e1a55d
libsndfile.txt|libsndfile|1.2.2-1|https://libsndfile.github.io/libsndfile/|LGPL-2.1-or-later|libsndfile-1.dll|C:/msys64/clang64/share/licenses/libsndfile/COPYING|2026-09-09|ad01ea5cd2755f6048383c8d54c88459cd6fcb17757c5c8892f8c5ea060f6140
libogg.txt|libogg|1.3.6-1|https://xiph.org/ogg/|BSD-3-Clause|libogg-0.dll|C:/msys64/clang64/share/licenses/libogg/COPYING|2026-09-09|d2ab5758336489da61c12cc5bb757da5339c4ae9001f9bb0562b4370249af814
Vorbis-COPYING.txt|Vorbis|1.3.7-2|https://gitlab.xiph.org/xiph/vorbis/-/raw/0657aee69dec8508a0011f47f3b69d7538e9d262/COPYING|BSD-3-Clause|libvorbis-0.dll,libvorbisenc-2.dll|official Xiph v1.3.7 tag 0c55fa38933fd4bdb7db7c298b27e7bf2f2c5e98 resolves to commit 0657aee69dec8508a0011f47f3b69d7538e9d262|2026-09-09|ec1815db59fcd302846df949d7424876cb2e2dc5ed1606c5fb0b36787b1cf43a
FLAC-Xiph.txt|FLAC|1.5.0-1|https://xiph.org/flac/|BSD-3-Clause|libFLAC.dll|C:/msys64/clang64/share/licenses/flac/COPYING.Xiph|2026-09-09|7866ee98760fc1f0156b4fe6bf530257e02be487ab3fd94e2b63799dd32d6b2c
Opus.txt|Opus|1.6.1-1|https://opus-codec.org/|BSD-3-Clause|libopus-0.dll|C:/msys64/clang64/share/licenses/opus/COPYING|2026-09-09|01e1167d54a096d123cf6dfbbeb19587278845c6481d2d66d545669846079551
mpg123.txt|mpg123|1.33.5-1|https://www.mpg123.de/|LGPL-2.1-only|libmpg123-0.dll|C:/msys64/clang64/share/licenses/mpg123/COPYING|2026-09-09|c22482728a634a8dfdb4ff72a96d4c1ed64cd8f3e79335c401751ac591609366
LAME-COPYING.txt|LAME|3.100-3|https://svn.code.sf.net/p/lame/svn/!svn/bc/6403/tags/RELEASE__3_100/lame/COPYING|LGPL-2.0-or-later|libmp3lame-0.dll|official LAME SVN revision 6403 RELEASE__3_100 tag - configure.in AC_INIT lame 3.100|2026-09-09|bfe4a52dc4645385f356a8e83cc54216a293e3b6f1cb4f79f5fc0277abf937fd
winpthreads.txt|winpthreads|14.0.0.r220.gd999af622-1|https://www.mingw-w64.org/|MIT AND BSD-3-Clause|libwinpthread-1.dll|C:/msys64/clang64/share/licenses/winpthreads/COPYING|2026-09-09|63263614cdd29f2f93cba85e992f041b31f9fc7b4033692f31269489a8a1b177
libcxx.txt|LLVM-libc++|22.1.8-1|https://libcxx.llvm.org/|Apache-2.0 WITH LLVM-exception|libc++.dll|C:/msys64/clang64/share/licenses/libc++/LICENSE|2026-09-09|539dd7aed86e8a4f12cbdd0e6c50c189c7d74847e4fecc64ce2c6ee3a01da38b
