Running tests.
prelude.pure: passed (50s)
test001.pure: passed (59s)
test002.pure: passed (46s)
test003.pure: passed (46s)
test004.pure: passed (48s)
test005.pure: passed (43s)
test006.pure: passed (43s)
test007.pure: passed (42s)
test008.pure: passed (41s)
test009.pure: passed (45s)
test010.pure: passed (43s)
test011.pure: passed (70s)
test012.pure: passed (44s)
test013.pure: passed (41s)
test014.pure: passed (86s)
test015.pure: passed (333s)
test016.pure: passed (42s)
test017.pure: passed (64s)
test018.pure: passed (84s)
test019.pure: passed (46s)
test020.pure: passed (113s)
test021.pure: passed (99s)
test022.pure: passed (43s)
test023.pure: passed (50s)
test024.pure: passed (54s)
test025.pure: passed (187s)
test026.pure: passed (45s)
test027.pure: passed (46s)
test028.pure: passed (64s)
test029.pure: passed (41s)
test030.pure: passed (40s)
test031.pure: passed (53s)
test032.pure: passed (41s)
test033.pure: passed (42s)
test034.pure: passed (43s)
test035.pure: passed (45s)
test036.pure: passed (66s)
test037.pure: passed (41s)
test038.pure: passed (41s)
test039.pure: passed (40s)
test040.pure: passed (43s)
test041.pure: passed (56s)
test042.pure: passed (69s)
test043.pure: passed (41s)
test044.pure: passed (43s)
test045.pure: passed (42s)
test046.pure: passed (48s)
test047.pure: passed (56s)
test048.pure: passed (46s)
test049.pure: passed (42s)
test050.pure: passed (41s)
test051.pure: passed (67s)
test052.pure: passed (45s)
test053.pure: passed (43s)
test054.pure: passed (40s)
test055.pure: passed (43s)
test056.pure: passed (41s)
test057.pure: passed (67s)
test058.pure: passed (55s)
test059.pure: passed (40s)
test060.pure: passed (51s)
test061.pure: passed (88s)
test062.pure: passed (61s)
test063.pure: passed (75s)
test064.pure: passed (45s)
test065.pure: passed (63s)
test066.pure: passed (45s)
test067.pure: passed (41s)
test068.pure: passed (49s)
test069.pure: passed (70s)
test070.pure: passed (41s)
test071.pure: passed (40s)
test072.pure: passed (62s)
test073.pure: passed (42s)
test074.pure: passed (43s)
test075.pure: passed (62s)
test076.pure: passed (40s)
test077.pure: passed (42s)
test078.pure: passed (43s)
test079.pure: passed (85s)
test080.pure: passed (48s)
test081.pure: passed (42s)
test082.pure: passed (41s)
test083.pure: passed (46s)
test084.pure: passed (47s)
test085.pure: passed (45s)
test086.pure: passed (48s)
test087.pure: passed (47s)
test088.pure: passed (45s)
test089.pure: passed (46s)
test090.pure: passed (43s)
test091.pure: passed (44s)
test092.pure: passed (45s)
test093.pure: passed (86s)
test094.pure: passed (41s)
test095.pure: passed (42s)
test096.pure: passed (46s)
