Running tests.
prelude.pure: passed (14s)
test001.pure: passed (18s)
test002.pure: passed (13s)
test003.pure: passed (13s)
test004.pure: passed (16s)
test005.pure: passed (14s)
test006.pure: passed (14s)
test007.pure: passed (15s)
test008.pure: passed (15s)
test009.pure: passed (17s)
test010.pure: passed (15s)
test011.pure: passed (25s)
test012.pure: passed (15s)
test013.pure: passed (15s)
test014.pure: passed (35s)
test015.pure: passed (152s)
test016.pure: passed (15s)
test017.pure: passed (23s)
test018.pure: passed (31s)
test019.pure: passed (18s)
test020.pure: passed (40s)
test021.pure: passed (36s)
test022.pure: passed (15s)
test023.pure: passed (19s)
test024.pure: passed (21s)
test025.pure: passed (79s)
test026.pure: passed (16s)
test027.pure: passed (17s)
test028.pure: passed (24s)
test029.pure: passed (14s)
test030.pure: passed (15s)
test031.pure: passed (20s)
test032.pure: passed (15s)
test033.pure: passed (14s)
test034.pure: passed (14s)
test035.pure: passed (16s)
test036.pure: passed (24s)
test037.pure: passed (14s)
test038.pure: passed (13s)
test039.pure: passed (14s)
test040.pure: passed (15s)
test041.pure: passed (25s)
test042.pure: passed (29s)
test043.pure: passed (19s)
test044.pure: passed (20s)
test045.pure: passed (16s)
test046.pure: passed (19s)
test047.pure: passed (22s)
test048.pure: passed (18s)
test049.pure: passed (15s)
test050.pure: passed (14s)
test051.pure: passed (23s)
test052.pure: passed (16s)
test053.pure: passed (15s)
test054.pure: passed (14s)
test055.pure: passed (15s)
test056.pure: passed (14s)
test057.pure: passed (24s)
test058.pure: passed (21s)
test059.pure: passed (15s)
test060.pure: passed (19s)
test061.pure: passed (37s)
test062.pure: passed (22s)
test063.pure: passed (27s)
test064.pure: passed (16s)
test065.pure: passed (22s)
test066.pure: passed (16s)
test067.pure: passed (14s)
test068.pure: passed (18s)
test069.pure: passed (25s)
test070.pure: passed (14s)
test071.pure: passed (14s)
test072.pure: passed (24s)
test073.pure: passed (15s)
test074.pure: passed (15s)
test075.pure: passed (23s)
test076.pure: passed (14s)
test077.pure: passed (14s)
test078.pure: passed (16s)
test079.pure: passed (33s)
test080.pure: passed (19s)
test081.pure: passed (14s)
test082.pure: passed (14s)
test083.pure: passed (15s)
test084.pure: passed (15s)
test085.pure: passed (14s)
test086.pure: passed (15s)
test087.pure: passed (16s)
test088.pure: passed (14s)
test089.pure: passed (15s)
test090.pure: passed (14s)
test091.pure: passed (15s)
test092.pure: passed (17s)
test093.pure: passed (31s)
test094.pure: passed (15s)
test095.pure: passed (16s)
test096.pure: passed (17s)
