Running tests.
prelude.pure: passed (10s)
test001.pure: passed (14s)
test002.pure: passed (10s)
test003.pure: passed (10s)
test004.pure: passed (11s)
test005.pure: passed (9s)
test006.pure: passed (10s)
test007.pure: passed (10s)
test008.pure: passed (11s)
test009.pure: passed (14s)
test010.pure: passed (11s)
test011.pure: passed (19s)
test012.pure: passed (11s)
test013.pure: passed (10s)
test014.pure: passed (27s)
test015.pure: passed (127s)
test016.pure: passed (11s)
test017.pure: passed (17s)
test018.pure: passed (24s)
test019.pure: passed (12s)
test020.pure: passed (31s)
test021.pure: passed (28s)
test022.pure: passed (11s)
test023.pure: passed (14s)
test024.pure: passed (16s)
test025.pure: passed (64s)
test026.pure: passed (11s)
test027.pure: passed (12s)
test028.pure: passed (17s)
test029.pure: passed (10s)
test030.pure: passed (10s)
test031.pure: passed (14s)
test032.pure: passed (10s)
test033.pure: passed (11s)
test034.pure: passed (11s)
test035.pure: passed (11s)
test036.pure: passed (16s)
test037.pure: passed (10s)
test038.pure: passed (10s)
test039.pure: passed (9s)
test040.pure: passed (11s)
test041.pure: passed (17s)
test042.pure: passed (18s)
test043.pure: passed (10s)
test044.pure: passed (10s)
test045.pure: passed (11s)
test046.pure: passed (12s)
test047.pure: passed (16s)
test048.pure: passed (13s)
test049.pure: passed (10s)
test050.pure: passed (10s)
test051.pure: passed (19s)
test052.pure: passed (12s)
test053.pure: passed (12s)
test054.pure: passed (11s)
test055.pure: passed (11s)
test056.pure: passed (10s)
test057.pure: passed (18s)
test058.pure: passed (16s)
test059.pure: passed (10s)
test060.pure: passed (13s)
test061.pure: passed (29s)
test062.pure: passed (15s)
test063.pure: passed (21s)
test064.pure: passed (11s)
test065.pure: passed (16s)
test066.pure: passed (12s)
test067.pure: passed (10s)
test068.pure: passed (13s)
test069.pure: passed (18s)
test070.pure: passed (10s)
test071.pure: passed (10s)
test072.pure: passed (19s)
test073.pure: passed (10s)
test074.pure: passed (10s)
test075.pure: passed (16s)
test076.pure: passed (10s)
test077.pure: passed (10s)
test078.pure: passed (10s)
test079.pure: passed (25s)
test080.pure: passed (13s)
test081.pure: passed (10s)
test082.pure: passed (10s)
test083.pure: passed (11s)
test084.pure: passed (11s)
test085.pure: passed (10s)
test086.pure: passed (10s)
test087.pure: passed (10s)
test088.pure: passed (10s)
test089.pure: passed (10s)
test090.pure: passed (10s)
test091.pure: passed (11s)
test092.pure: passed (12s)
test093.pure: passed (22s)
test094.pure: passed (10s)
test095.pure: passed (10s)
test096.pure: passed (12s)
